Date : 2021-06-10 00:24:05
Directory : c:\Users\chris\Documents\GitHub\twitter-clone
Total : 361 files,  44916 codes, 17491 comments, 8082 blanks, all 70489 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\src\UriInterface.php                             | PHP          |         21 |        286 |         17 |        324 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\AbstractLogger.php                                | PHP          |         37 |         82 |         10 |        129 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\InvalidArgumentException.php                      | PHP          |          5 |          0 |          3 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\LogLevel.php                                      | PHP          |         13 |          3 |          3 |         19 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\LoggerAwareInterface.php                          | PHP          |          6 |         10 |          3 |         19 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\LoggerAwareTrait.php                              | PHP          |         10 |         13 |          4 |         27 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\LoggerInterface.php                               | PHP          |         14 |        101 |         11 |        126 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\LoggerTrait.php                                   | PHP          |         38 |         94 |         11 |        143 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\NullLogger.php                                    | PHP          |          8 |         20 |          3 |         31 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\Test\DummyTest.php                                | PHP          |          9 |          7 |          3 |         19 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\Test\LoggerInterfaceTest.php                      | PHP          |         94 |         24 |         21 |        139 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\Psr\Log\Test\TestLogger.php                               | PHP          |         78 |         56 |         14 |        148 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\README.md                                                 | Markdown     |         43 |          0 |         16 |         59 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\log\composer.json                                             | JSON         |         26 |          0 |          1 |         27 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\CHANGELOG.md                             | Markdown     |        118 |          0 |         89 |        207 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\composer.json                            | JSON         |         35 |          0 |          1 |         36 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\pull_request_template.md                 | Markdown     |          4 |          0 |          4 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\src\ApiErrorException.php                | PHP          |          9 |         10 |          3 |         22 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\src\Pusher.php                           | PHP          |        433 |        273 |        123 |        829 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\src\PusherCrypto.php                     | PHP          |         91 |         63 |         24 |        178 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\src\PusherException.php                  | PHP          |          6 |          0 |          4 |         10 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\src\PusherInstance.php                   | PHP          |         21 |          5 |          6 |         32 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\src\PusherInterface.php                  | PHP          |         19 |        138 |         15 |        172 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\pusher\pusher-php-server\src\Webhook.php                          | PHP          |         20 |          0 |          6 |         26 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\ralouphie\getallheaders\README.md                                 | Markdown     |         18 |          0 |         10 |         28 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\ralouphie\getallheaders\composer.json                             | JSON         |         26 |          0 |          1 |         27 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\ralouphie\getallheaders\src\getallheaders.php                     | PHP          |         34 |          5 |          8 |         47 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\README.md                                                                      | Markdown     |          1 |          0 |          0 |          1 |
