"filename", "language", "PHP", "HTML", "CSS", "Markdown", "SQL", "SCSS", "JavaScript", "JSON", "XML", "YAML", "Shell Script", "Makefile", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\CurlFactory.php", "PHP", 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 64, 593
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\CurlFactoryInterface.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 26
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\CurlHandler.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 50
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\CurlMultiHandler.php", "PHP", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 39, 254
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\EasyHandle.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 18, 113
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\HeaderProcessor.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 43
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\MockHandler.php", "PHP", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 27, 212
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\Proxy.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 5, 52
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\StreamHandler.php", "PHP", 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 80, 582
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\MessageFormatter.php", "PHP", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 15, 199
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\MessageFormatterInterface.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 19
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Middleware.php", "PHP", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 15, 261
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Pool.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 12, 126
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\PrepareBodyMiddleware.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 19, 105
